"Subject" "ActivityName" "odyAcc-mean()-X" "odyAcc-mean()-Y" "odyAcc-mean()-Z" "odyAcc-std()-X" "odyAcc-std()-Y" "odyAcc-std()-Z" "GravityAcc-mean()-X" "GravityAcc-mean()-Y" "GravityAcc-mean()-Z" "GravityAcc-std()-X" "GravityAcc-std()-Y" "GravityAcc-std()-Z" "BodyAccJerk-mean()-X" "BodyAccJerk-mean()-Y" "BodyAccJerk-mean()-Z" "BodyAccJerk-std()-X" "BodyAccJerk-std()-Y" "BodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X"
"1" 1 "LAYING" -0.26234709098 -2.4785030188534 -1.5607262673 -9.280564692 -8.48211472662 -8.424777196988 -3.70977100022 0.214417452 -0.00520074360000001 -8.968300184 -9.11435684156 -8.61357959262 -0.10163722526 -0.8517039428566 -1.6066754851238 -9.58482112 -9.241492736 -9.548551108 -2.369804984948 -5.689877147448 -0.14973570042 -8.881768654 -9.510904402 -9.082846626 -5.3475081522 -3.78982799106 -4.9371040344 -9.186085208 -9.679072436 -9.577901596 -8.6351801968 -8.19218192452 -8.6351801968 -8.19218192452 -9.543962646 -9.282456284 -8.74759548 -8.28826595976 -9.6346103 -9.358409828 -9.390990524 -8.72325314778 -8.826668762 -9.244374346 -8.6955739424 -8.18422441742 -2.460571737574 -1.460828462214 -1.75645648992 -9.570738838 -9.224626098 -9.480609042 -9.641607086
"2" 1 "SITTING" 0.173398644276596 -1.97480183797872 -1.37433280553191 -9.77229008297872 -9.22618641914894 -9.3958629106383 0.831509933404255 0.204411592680851 0.332043702765957 -9.68457145744681 -9.35517055957447 -9.49040933191489 0.0488539906382979 -0.758738708487234 -2.38205866569723 -9.86430711276596 -9.81371965319149 -9.87910804468085 -3.29047948723404 -5.52288980329787 -0.644991270638298 -9.58062347021277 -9.66473895319149 -9.41425920851064 -7.59659181276596 -4.02118124255319 -4.65682936051064 -9.91731592127659 -9.89518068510638 -9.87935806382979 -9.48536786170213 -9.27078418723404 -9.48536786170213 -9.27078418723404 -9.87364195531915 -9.84120024042553 -9.3089249 -9.34531840425532 -9.91976341276596 -9.88308728510638 -9.79641238723404 -9.44084550425532 -9.59184889148936 -9.76412313191489 -9.17275006382979 -9.34469558085106 -1.63369276522128 -1.3288472666383 -0.334113714531915 -9.86597022553192 -9.81579467021277 -9.86053092340426 -9.87492994468085
"3" 1 "STANDING" 0.278917629056604 -2.11917613373585 -1.62967680943396 -9.95759901509434 -9.73190056415094 -9.79775876981132 0.942952000377358 -2.72983832264151 -1.98337368699434 -9.9376298509434 -9.81225957924528 -9.76324063584906 0.0753766542264151 -0.554823135213208 -2.94602509585641 -9.94604542264151 -9.8564873245283 -9.92251177358491 -2.64118409606226 -6.05175778998113 -0.139729822396226 -9.87191946603774 -9.8773444 -9.80645626981132 -6.69268971698113 -4.40627877924528 -4.93666014346981 -9.92945106981132 -9.95137917358491 -9.92108467169811 -9.8427820735849 -9.81942928867925 -9.8427820735849 -9.81942928867925 -9.92367790566038 -9.93096209433962 -9.76493792830189 -9.78690028679245 -9.94966790566038 -9.94733238679245 -9.95249932641509 -9.77070847735849 -9.85297098679245 -9.9602834509434 -9.72293102075472 -9.6095612754717 -0.807214272883585 -0.534321988507547 -0.416153184075472 -9.94630797358491 -9.85418704528302 -9.90752166037736 -9.95073759245283
"4" 1 "WALKING" 0.277330758736842 -2.74220087331253 -3.26482875368421 -2.83740258842105 -0.223196770222105 -2.60027902210526 0.935223201473684 -2.82165021263158 -2.94566218526316 -9.76609642526316 -9.71305961473684 -9.47717226105263 -1.22783765078947 -1.50564878020105 -1.61273120704947 -2.54620816820421 -0.996990218931579 -5.02699788526316 -3.27386577304811 -2.38135114943684 -0.0844503033589474 -4.73535485894737 -2.85160391411684 -3.44266629473684 -2.38176883414947 -2.01016761774316 -1.88099011487263 -2.35009533157895 -3.11856350105263 -4.04255452631579 -3.44539091894737 -2.36381616842105 -3.44539091894737 -2.36381616842105 -2.89244759938947 -2.52274660488421 -2.77518971862105 -2.59345322947368 -3.06457901263158 -3.46965986631579 -2.49267423578947 -0.728697992932632 -3.31560117789474 -3.19134719578947 -0.946292409485368 -2.89007473789474 -2.57789328143158 -0.898530217463158 -1.45002625738063 -2.50611489909895 -2.21561020836 -4.68999224631579 -2.34919447802105
"5" 1 "WALKING_DOWNSTAIRS" 0.289188320408163 -2.70947292012041 -3.34826147314286 -1.62871509002916 -1.74059809473469 -2.37684002544898 0.931874418979592 -2.66610338979592 -4.47126091632653 -9.50559811632653 -9.37018658979592 -8.95939695102041 -1.53257025397959 -1.76918893153061 -1.73560762512449 -1.78820077878367 -2.46423642120408 -3.55369749795918 -2.14274150369898 -2.46408199014286 -0.575139866656122 -4.86485652653061 -2.36157075276327 -3.68165161142653 -2.3130214520149 -1.65943196292857 -1.66578444333061 -4.87027342244898 -3.27838778328571 -2.86753391428571 -1.70703611488571 -1.79093290953673 -1.70703611488571 -1.79093290953673 -2.49249596436735 -2.30789844907347 -2.87909807645306 -3.05865162526531 -3.01608533469388 -3.29362577691837 -0.96367336932449 -1.67596618869061 -2.57753142206122 -1.22013154631429 -2.26197117938776 -2.97927894693878 -3.6902832545102 -1.59768298953265 0.092941279035102 -2.73927089797959 -2.36626888453061 -3.07472833414286 -3.02900216022796
"6" 1 "WALKING_UPSTAIRS" 0.255461689622641 -3.06795630522849 -3.52094372830189 -3.5470802509434 -2.20850583411698 -2.47486473395849 0.89335109754717 -3.62153364339623 -5.75710071132075 -9.56367027924528 -9.52849233207547 -9.12379410377359 -0.962875123764151 -1.50881054713774 -1.9264704605283 -4.46843887735849 -3.78274426037736 -7.06593530943396 -1.25850588575472 -2.49031410614528 -0.903182289224528 -5.44871104528302 -1.53866206997736 -5.0716867490566 -2.63136875484906 -3.18845153611887 -2.37840467305226 -6.14786508490566 -6.01696656226415 -6.06332002264151 -2.98324404339623 -3.24970929245283 -2.98324404339623 -3.24970929245283 -4.66503446226415 -4.78991622075472 -2.46250681709434 -2.04714497159245 -5.9488286509434 -6.48553044339623 -4.04321784150943 -2.77368696518302 -4.33349702075472 -3.37428188679245 -1.7017549459434 -0.115310684862264 -4.25111430754717 -2.8754494407434 -5.20114793584906 -4.79875245660377 -4.1344458754717 -6.85474353962264 -4.61907025849057
"7" 2 "LAYING" 0.281373403958333 -1.87508203958333 -2.50491417916667 -9.74059464791667 -9.8027739875 -9.84233296875 -5.09754238125 0.752536639375 0.646834879583333 -9.59014441458333 -9.88211865208333 -9.84230418125 0.0825972511666667 -0.182864465879375 -2.34605495615 -9.8587216875 -9.8317254125 -9.88442014375 -2.9122971544625 -5.66043694583333 0.144882846104167 -9.88275232916667 -9.82291608958333 -9.60306560416667 -6.84747427708333 -3.75219767083333 -5.38498538958333 -9.93235849166667 -9.89567537916667 -9.8803582125 -9.77435485208333 -9.72873912916667 -9.77435485208333 -9.72873912916667 -9.87741696041667 -9.8551807625 -9.50011569583333 -9.61164053958333 -9.91767074166667 -9.89718095208333 -9.76725059791667 -9.79800877916667 -9.84380981875 -9.73246482083333 -9.81025105625 -9.84792185 -2.50381838727917 -0.011007662875 0.359598329020833 -9.85813630833333 -9.82768250416667 -9.86197134583333 -9.87250255833333
"8" 2 "SITTING" 0.27708735173913 -2.2519808603913 -3.65057817826087 -9.86822279565217 -9.50704499130435 -9.5982817173913 0.940477273043478 -1.70984716444891 0.19872676876087 -9.79988760869565 -9.56750273043478 -9.54415873043478 -0.124587759956522 -0.672052268204565 -2.1290952218913 -9.88055854130435 -9.77983955434783 -9.8751821173913 -2.80246883478261 -6.03288115292174 -0.437793629521739 -9.85742027826087 -9.78919526956522 -9.59803708695652 -6.96945665434783 -4.15602029130435 -4.49935161980217 -9.89709023043478 -9.90889614782609 -9.85542325652174 -9.67893623913043 -9.53081444130435 -9.67893623913043 -9.53081444130435 -9.86774713043478 -9.84475868043478 -9.46035087173913 -9.61313624130435 -9.91081493913043 -9.89594919565217 -9.85803840652174 -9.57343498478261 -9.70162172608696 -9.8736209 -9.50073754130435 -9.56862864130435 -0.597019638420435 -0.8773213458 -1.05212424841087 -9.87848793695652 -9.77139702826087 -9.85129050217391 -9.89459107391304
"9" 2 "STANDING" 0.277911472222222 -2.45158447116667 -2.73128780555556 -9.87271889259259 -9.57304989259259 -9.49741851296296 0.896928566851852 -3.70062696851852 0.129747161222222 -9.86685818703704 -9.7419442037037 -9.45927078703704 0.0747588597592593 -0.893025338622222 -1.53659709258389 -9.81085715555555 -9.7105943962963 -9.82841446481481 -2.89621744445463 -6.20667154259259 -0.0720421030185185 -9.72998629814815 -9.71441996481481 -9.64856701851852 -5.64832083888889 -3.9333825037037 -5.47498262177593 -9.79324000740741 -9.83447258518519 -9.73610118333333 -9.65875181296296 -9.57874965 -9.65875181296296 -9.57874965 -9.80489077407407 -9.76675280185185 -9.63466341851852 -9.5394338037037 -9.83951904259259 -9.77204427777778 -9.83946739814815 -9.59871697407407 -9.62471195740741 -9.89056469814815 -9.57908842222222 -9.46433583518519 -0.366442840059259 -1.43980984353167 -0.948949904548148 -9.80973241666667 -9.70851337962963 -9.79775152037037 -9.83007923703704
"10" 2 "WALKING" 0.276426586440678 -2.68142823579831 -3.48720708474576 -4.23642838474576 -3.18267300088814 -4.25257524915254 0.91301733338983 -3.4660709 0.0847270871186441 -9.72693201355932 -9.72116879661017 -9.72072847627119 -1.51506542047458 -1.56367845156271 -1.75269511797458 -2.88580606658644 -2.37149844943898 -5.86090418983051 -2.55374408511881 -4.09314395429661 -0.0106157003220339 -5.61550255762712 -5.3845366779661 -4.81085535084746 -2.16154382240678 -2.23122586095593 -2.38814923663729 -3.89549831525424 -6.34140436101695 -4.35492677288136 -2.90407593728814 -4.22544169322034 -2.90407593728814 -4.22544169322034 -3.15294370847458 -2.64699851766102 -4.46549092881356 -5.53019916271186 -5.47911950338983 -5.57798151355932 -3.46048161016949 -2.47519151598305 -4.53806369830509 -4.57651383728814 -2.69168404286441 -4.55222146440678 -2.90262979249322 0.0481364853220339 -1.33302015140678 -3.28505472033898 -1.9977984569322 -5.54956709661017 -3.30935343559322
